Program,Notes,Frequencies
"Muscular Pain And Injury","Also see Pain and General antiseptic",2720|6000|324|320|250|240|160|125|80|40|20|10|5.8|2.5|1.5|1.2|1|0.5
"Mycobacterium Phlei HC",,20412.70|1016.29
"Mycobacterium Tuberculosis HC","Causes tuberculosis",21508.01|1070.82
"Mycogone Fungoides",,488|532|662|764|852|1444
"Mycogone Fungoides Secondary",,328|367|490|491|495|496|628|678|761|766|768|1055|1074|9979|709|714|729|746|757
"Mycogone Spp","Homeopathic allergenic preparation based on fungus",371|446|1123|748
"Mycoplasma Fermentans","May be a factor in ALS, chronic fatigue, alzheimer's, parkinson's, and MS",2900|878.2|880.2|864|790|706.7|690|610|484|986|644|254
"Mycoplasma General","Can be useful for lung, sinus, and other problems which do not respond to other frequencies",7344|2950|2900|2842|1147|1113|1067|1062|1045|969.9|880.2|878.2|865|829.3|800.4|790|783.6|779.9|706.7|690.7|690|686.6|684.1|679.2|673.9|664|644|610|484|254
"Mycoplasma HC",,16106.12|17226.33|801.88|857.65
"Mycoplasma Pneumonia",,688|975|777|2688|660|709.2|2838.5
"Mycoplasma Pulmonis",,2404.2|601|300.5|150.3|75.1
"Mycoplasma Salivarium 1","Run each for 18 min after building up",253|279|420|453|761|832
"Mycosis Fungoides","A form of skin cancer resembling eczema",532|662|678|852|1444
"Myocarditis Narbe","Narbe means scar",279|761
"Myocarditis Necrose","Homeopathic remedy from heart cells that died as a result of inadequate blood flow to them. See also Circulatory stasis",706|789
"Myoma","A benign tumor on the uterus",253|420|453|832
"Myositis","Involves progressive muscle weakness",120|122|125|129|1124|1169|762
"Myxosoma HC",,20611.85|1026.20
"Naegleria Fowleri HC",,18022.92|897.31
"Nanobacter","Nanobacterium sanguineum, a nanobacteria which can be found in some calcium deposits in the arteries, kidneys, gallbladder, muscle and joints as well as in increased numbers in those with 'autoimmune' diseases such as lupus, psoriasis, scleroderma, and similar disorders",634|317|1268|1902
"Nanobacteria 2",,6771.59|6772.13|6749|6773.44|6772.29|6725.50|5965.19|5198.33|5543.65|5631.24|9916.73|8798.81|8661.95|4628.34|4128.50|2931.45|2208.53|2100.67
"Nanobacteria 3",,13543.18|13543.89|13544.26|13544.49|13546.48|13546.88|13544.59|13545.21|13546.95|11930.39|10396.66|9916.73|8798.81|8661.95|4628.34|4128.50|2931.45|2208.53|2100.67
"Nanobacteria Sanguineum TR",,7635.45|6653.86|6346.71|5631.24|5543.65|2962.14|2642.24|1876.13|1413.46|1344.43|1902|317
"Nasal Infection","Use Sinusitis and/or Rhinitis",
"Nasal Polyp","Benign growth inside the nasal passage",542|1436
"Nasturtium","A healing herb",143
"Nausea And Cramping","Also see Parasites, enterobiasis, roundworms, and Parasites, general for chronic conditions",72|95|190|880|832|787|727|20|4.9
"Nematodes","Use Parasites, nematodes",
"Neoplasms","Use cancer",
"Nephritis","Kidney inflammatory disease. Also treat for stones and crystals supplementally, or nephrosis non inflammatory kidney disease",1550|274|423|636|688|880|787|727|10|20|10000|40|73|465|3000
"Nerve Disorders And Neuropathy",,10000|3176|2720|2489|2170|2112|1800|1600|1550|880|802|787|727|660|650|625|600|440|125|95|72|20|7.83|3
"Nerves Healing",,200|10|7.64
"Nervousness Prozac Agitation","Akathisia. See also Relaxation",3|7.83
"Neuralgia","A painful disorder of the nervous system",833|3.9|10000
"Neuralgia Intercostal",,802
"Neuralgia Trigeminal",,880
"Neurosis",,28
"Neurospora Sitophila",,705|878
"Nigrospora Spp",,302|350|764
"Nocardia Asteroides","The microorganism causing Nocardiosis, an infectious pulmonary disease characterized by abscesses in the lungs. Also see Streptothrix.",228|231|237|694|719|747|887|2890
"Nocardia Asteroides HC","Found in Parkinson’s disease",17679.39|880.20
"Nogier Frequencies",,1.14|2.28|4.56|9.125|18.25|36.5|73|146|292|584|1168|2336|4672
"Nose Infection Congestion","Use Sinusitis and Rhinitis",
"Numbness","Also see Circulatory stasis",10000|2720|2489|2170|1800|1600|1550|802|880|787|727|650|625|600|440|660
"Oat Smut",,806
"Oligodena",,853
"Oospora",,9599|5346
"Oral Lesions","Chronic cases will always return until metal dental work is replaced with uranium free porcelain. See also herpes simplex I and use Stomatitis",2720|2489|2008|1800|1600|1550|802|880|787|727|465|444|522|146
"Orchitis","Inflammation of testes due to TB, mumps, gonorrhea, cancer, bacteria, etc. See also causative condition if known",2720|2489|2170|2127|2008|1800|1600|1550|802|1500|880|832|787|776|727|690|666|650|625|600|125|95|72|20|9
"Orchitis Secondary",,727|787|880|10000
"Ornithosis","Psittacosis or Parrot Fever; an infectious pneumonia transmitted by certain birds",233|331|332|583|859|1217
"Osteitis","Bone inflammation",770
"Osteoarthritis","Use also Arthritis",962|1500|770
"Osteoitis",,2.65
"Osteomyelitis",,2720|2489|2170|2127|2008|1800|1600|1550|802|1500|880|832|787|776|727|690|666
"Osteomyelosclerosis","Marrow replacement by bone in response to low-grade infection",79|330
"Osteosinusitis Max",,243|327
"Ostitis",,770|743|736|724
"Otitis Externa","Outer ear infection. Also see Pseudomonas aeruginosa",727|787|880|174|482|5311
"Otitis Medinum","Middle ear swelling and or infection and fever. Use also strep pneumonia if no immediate benefits. Use 880|720|and 1550 for 10 min, others for 5 min",683|688|776|766|316|784|786|125|802|72|522|440|880|720|1550
"Otosclerosis",,9.19
"Ovarian Cyst",,567|982|711
"Ovarian Disorders General",,2720|2489|2170|2127|2008|1800|1600|1550|1500|982|880|832|802|787|776|727|711|690|666|650|625|600|567|465|444|26|20
"Ovarian Elimination Stimulation",,20|800|1550
"Ovum",,752
"Ox Bile","The homeopathic remedy derived from it",672
"Ozaena",,184|222|439
"Pain Acute",,3000|95|10000|1550|802|880|787|727|690|666
"Pain General","Also look under name of condition causing pain",3000|2720|95|666|80|40
"Pain Of Cancer",,3000|95|2127|2008|727|690|666
"Pain Of Infection",,3000|95|880|1550|802|787|776|727|4.9
"Pain Relief",,304|6000|3000|666|80
"Palsy General",,10000
"Pancreas",,440|464|600|624|648|1552|727|787|880
"Pancreatic Insufficiency",,20|250|650|625|600|465|444|26|2720|2489|2170|2127|2008|1800|1600|1550|802|1500|880|832|787|776|727|690|666|20
"Papilloma Kidney","Small, usually benign growth on a kidney",110|148|264|634|767|848|917|760|762|1102
"Papilloma Virus","Causes warts and benign tumors having a branch or stalk and in some cases white patches known as leukoplakia, 874*, 907*",67265|64734|16970|9609|9258|5657|1051|1011|907|874|767|489|466|404|265|110|45
"Papilloma Virus Cervix HC","Smear",20128.91|1002.16
"Papilloma Virus Plantar Wart HC",,20163.76|1003.
"Papilloma Virus Wart HC",,20263.34|1008.85
"Paraceli",,232
"Paradontose",,424|1552
"Paralysis Nonspastic",,10000|880|787|776|727|650|625|600|444|1865|125|95|72|20|9.19|8.25
"Paralysis Spastic",,10000|880|787|776|727|650|625|600|444|1865|125|95|72|20|7.69
"Paramecium Caudatum",,4500|1150|2298
"Paramyxovirus","Experimental!, types avian 6 and tupaia",8920.5|8089.4|4460.2|4044.7|2230.1|2022.3|1115.1|1011.2|557.5|505.6|278.8|252.8|139.4|126.4
"Parasites Ancylostoma Braziliense HC","Dog and cat hookworm, the larva of which is the most common cause of cutaneous larva migrans aka creeping eruption. Also see Parasites hookworm",19964.61|993.98
"Parasites Ancylostoma Caninum HC",,19914.83|991.50|19566.32|974.15|19217.81|956.80
"Parasites Ascaris","152*",152|442|8146|751|1146|797
"Parasites Ascaris HC","Larvae in lung",20313.12|1011.33
"Parasites Ascaris Megalocephala HC",,20313.12|1011.33
"Parasites Capillaria Hepatica HC",,21308.87|1060.91
"Parasites Clonorchis Sinensis HC",,21259.08|1058.43
"Parasites Cryptocotyle Lingua HC",,20611.85|1026.20
"Parasites Dirofilaria Immitis HC","Dog heartworm",20362.91|1013.81
"Parasites Echinoparyphium Recurvatum HC",,20960.36|1043.55
"Parasites Echinostoma Revolutum HC",,21308.87|1060.91
"Parasites Enterobiasis","Pinworms; intestinal worms which cause itching of the anal and perianal areas",20|112|120|773|826|827|835|4152
"Parasites Enterobius Vermicularis HC",,21059.93|1048.51
"Parasites Eurytrema Pancreaticum HC",,20960.36|1043.55
"Parasites Fasciola Hepatica HC",,21159.50|1053.47
"Parasites Fasciola Hepatica Cercariac HC",,21259.08|1058.43
"Parasites Fasciola Hepatica Eggs HC",,21159.50|1053.47
"Parasites Fasciola Hepatica Miracidia HC",,21059.93|1048.51
"Parasites Fasciola Hepatica Rediae HC",,21159.50|1053.47
"Parasites Fasciolopsis Buskii Adult HC",,21607.59|1075.78
"Parasites Fasciolopsis Buskil Eggs HC",,21607.59|1075.78
"Parasites Fasciolopsis Cercariae HC",,21607.59|1075.78
"Parasites Fasciolopsis Miracidia HC",,21607.59|1075.78
"Parasites Fasciolopsis Rediae HC",,21508.01|1070.82
"Parasites Filariose","Worms in blood and organs of mammals, larvae passed from biting insects",112|120|332|753
"Parasites Fischoedrius Elongatus HC",,22005.88|1095.61
"Parasites Flukes Blood",,847|867|329|419|635|7391|5516|9889
"Parasites Flukes General","Pancreatic, liver, and intestinal",6766|6672|6641|6578|2150|2128|2082|2013|2008|2003|2000|1850|945|854|846|830|763|676|651|524|435|275|142
"Parasites Flukes General Short Set",,524|854|651
"Parasites Flukes Intestinal","2127/2128*",524|651|676|844|848|854|2128|2008|2084|2150|6766
"Parasites Flukes Liver",,143|275|676|763|238|6641|6672
"Parasites Flukes Lymph",,10050|157
"Parasites Flukes Pancreatic 1",,1850|2000|2003|2008|2013|2050|2080|6578
"Parasites Flukes Sheep Liver",,826|830|834
"Parasites Follicular Mange",,253|693|701|774
"Parasites Gastrothylax Elongatus HC",,22653.12|1127.83
"Parasites General 1",,4412|2400|2112|1862|1550|800|732|728|712|688|676|644|422|128|120
"Parasites General 2",,10000|3176|1998|1865|1840|880|800|780|770|740|728|727|690|665|660|465|444|440|125|120|95|80|72|47
"Parasites General Alternative V",,4122|1522|967|942|854|829|827|749|741|732|633|605|604|591|524|422|411|344|172|102
"Parasites General Comprehensive",,10000|5000|4412|2720|2400|2112|1864|1550|1360|880|854|800|784|751|732|728|712|688|651|644|524|465|442|422|334|240|152|128|125|120|112|96|72|64|20
"Parasites General Short Set",,20|64|72|96|112|120|152|651|732|1360|2720|10000
"Parasites Gen Custom2 TR","Sweep 2000 to 2008 by 1 dwell 360",6578|2000|831|2000|2008|2520|689|750|880|650|187
"Parasites Giardia",,5768|5429|4334|2163|2018|1442|829|812|721|407|334
"Parasites Giardia Lamblia HC",,21109.72|1050.99
"Parasites Gyrodactylus HC",,18919.09|941.93
"Parasites Haemonchus Contortus HC",,19566.32|974.15
"Parasites Heartworms",,543|2322|200|535|1077|799|728
"Parasites Helminthsporium","Worm eggs",793|969|164|5243
"Parasites Hookworm",,6.8|440|2008|6436|5868
"Parasites Leishmania Braziliensis",,787
"Parasites Leishmania Braziliensis HC",,20064.19|998.94
"Parasites Leishmania Donovani",,525|781
"Parasites Leishmania Donovani HC",,19914.83|991.50
"Parasites Leishmania Mexicana HC",,20014.40|996.46
"Parasites Leishmania Tropica",,791
"Parasites Leishmania Tropica HC",,20163.76|1003.89
"Parasites Loa Loa HC",,17973.13|894.83
"Parasites Macracanthorhynchus HC",,21906.31|1090.65
"Parasites Metagonimus Yokogawai HC",,21906.31|1090.65
"Parasites Nematode",,771
"Parasites Onchocerca Volvulus HC","Tumor",21906.31|1090.65
"Parasites Paragonimus Westermanil HC",,22503.75|1120.40|22254.82|1108.00
"Parasites Passalurus Ambiguus HC",,21956.10|1093.13|21756.95|1083.21
"Parasites Pinworm","Use Parasites, enterobiasis",
"Parasites Roundworms Comp",,7159|5897|4412|4152|3212|2720|2322|1372|1113|1077|1054|942|835|827|826|822|799|776|773|772|753|752|749|746|738|732|728|722|721|698|688|650|543|541|535|422|380|332|240|200|152|128|120|112|104|101|20
"Parasites Roundworms General",,7159|5897|4412|4152|3212|2720|942|835|827|772|732|721|688|650|543|422|332|240|152|128|120|112|104|20
"Parasites Roundworms General Short Set",,128|152|240|422|650|688
"Parasites Roundworms Flatworms TR","Use when there is chronic pain from these. 40 min each with converge 1 0.03125 or 1 0.03333",6187.5|6468.8|5050
"Parasites Scabies","Follicular mange which is contagious dermatitis found in many animals that is caused by mites and in which the principle activity is at the hair follicles. Use 90|94|98|102|106|110|253|693 for 10 min. Scan 90 to 110 on lesser frequency intervals if needed. Also, rub skin with olive oil, let sit, then rinse with thyme tea",920|1436|2871|5742|90|94|98|102|106|110|253|693
"Parasites Schistosoma Haematobium","Blood flukes",847|867|635
"Parasites Schistosoma Haematobium HC",,23549.28|1172.45
"Parasites Schistosoma Mansoni","Blood fluke which can cause symptoms identical to hepatitis C",329|9889
"Parasites Stephanurus Dentalus","Ova",22951.84|1142.70
"Parasites Strongyloides","Threadworm, genus of roundworms",332|422|721|732|749|942|3212|4412
"Parasites Strongyloides HC","Filariform larva",19914.83|991.50
"Parasites Strongyloides Secondary",,380|698|752|776|722|738|746|1113
"Parasites Taenia","Use Parasites, tapeworms",
"Parasites Tapeworms","If any of these frequencies are felt strongly, also use a good herbal antiparasitic regimen plus CoQ10 in large amounts, 187*, 5522*",164|187|453|523|542|623|843|854|1223|803|1360|3032|5522
"Parasites Tapeworms Echinococcinum","Tapeworms found in dogs, wolves, cats, & rodents that can infect man, 5522*",164|453|542|623|5522
"Parasites Tapeworms Secondary",,142|187|624|662
"Parasites Threadworms","Use Parasites, strongyloides",
"Parasites Trichinella Spiralis HC","Found in muscle",20138.87|1002.66
"Parasites Trichinosis",,101|541|822|1054|1372
"Parasites Trichomonas Vaginalis HC",,18968.87|944.40
"Parasites Trichuris Sp HC","Male",20213.55|1006.37
"Parasites Trypanosoma Brucel HC",,21358.65|1063.38
"Parasites Trypanosoma Cruzi HC","Brain tissue",23051.41|1147.66
"Parasites Trypanosoma Equiperdum HC",,22055.67|1098.09|22005.88|1095.61|21707.16|1080.74
"Parasites Trypanosoma Gambiense HC",,19715.68|981.59
"Parasites Trypanosoma Lewisi HC","Blood smear",21159.50|1053.47
"Parasites Trypanosoma Rhodesiense TR",,21209.29|1055.95
"Parasites Turbatrix",,104
"Parasites Urocleidus HC",,22254.82|1108.00
"Paresis",,9.4
"Paresthesia",,5.5
"Parkinson Tremor Temporary Relief","Use 6000 for 10 min",6000|470|130|169
"Parkinsons Disease","A slowly progressive, degenerative, neurologic disorder, also use Mycoplasma fermentans, try Chlamydia pneumoniae, and see Nocardia asteroides freqs. Use 33 for 30 min, 33*",470|693|813|1.1|5000|6000|1131|33
"Parkinsons V",,4334|1422|871|840|827|813|744|742|733|658|611|577|569|531|524|442|314|310|172|134
"Parrot Fever","Use Ornithosis",
"Parvovirus Canine",,637|185|323|562|613|622|1000|4027
"Parvovirus Canine Mutant Strain",,323|514
"Parvovirus Canine Type B",,323|535|613|755
"Parvovirus New Strain",,2257|488
"Pasteurella Combination","Bacterial diseases spread by animal bites",323|913|694
"Pelvic Inflammatory Disease",,2950|2976|2720|2489|2170|2127|2008|1800|1600|1550|1488|802|787|776|727|690|666|650|625|600|465|444|522|95|72|450|428
"Pemphigus","Rare, autoimmune skin disorders characterized by blisters in the outer layer of skin and mucous membranes",694|893|665
"Penicillium Chyrosogenium",,129|249|344|967
"Penicillium Chyrosogenium Secondary",,345|688|868|1070|2411|728|764|765
"Penicillium Notatum",,334|629
"Penicillium Notatum Secondary",,321|550|555|556|558|560|562|566|572|644|825|922|942|4870|7780|412|715
"Penicillium Rubrum",,332|457|460|462|766|1015|1018
"Pennyroyal","An herb",772
"Pepto Streptococcus","See also other Strep sets",201|629
"Pericarditis","NOTE, Cardiac conditions are inherently unstable. Therefore,we cannot recommend the use of frequencies on humans, even outside U.S. jurisdiction. These frequencies are for animal research only.",2720|2170|1600|880|1550|802|787|727|625|125|95|72|20
"Periodontal Disease","See also osteo and dental infection freqs",47.5|1800|1600|650|625|600|880|787|776|727
"Peritonitis",,727|787|880
"Perniciosia","Scilicet malaria, extremely severe form of malaria",232|622|822|4211
"Perniosis","Chillbains. A disorder of the blood vessels caused by prolonged exposure to cold and characterized by skin lesions on the lower legs, hands, toes, feet, ears and face",20|232|622|822|4211|2112
"Pertussis","Whooping cough",526|765|46|284|9101|697|906
"Pertussis Secondary",,880|832|802|787|776|727|1234|7344
"Pesticide Detox","See also Liver and Kidney support, Circulatory and Lymph stasis freqs",73|26|6|1
"Phaqocyross Stimulation",,20|125|727|787|880
"Pharyngitis","Inflammation of pharynx, can cause chronic sore throat, halitosis, and pharyngeal ulcers. Also see Sore throat, Halitosis",440|380|1600|1550|802|776|784|880|727|20|522|146
"Phlebitis","Vein inflammation",1500|776
"Phoma Destructiva","Homeopathic",163|815|621
"Pineal Gland Stimulation",,20
"Pingueculum","Conjunctival tumors. Pingu_eculum is the medical term for a common white or yellow raised area on the conjunctiva; mostly a hint to a neurolymphatic condition.",
"Plague","Use Bubonic plague",
"Planetary Orbits","Brainwave freqs, from mercury to pluto",141.27|221.23|272.2|144.72|183.58|295.7|414.7|422.8|280.5
"Plantaris",,2008
"Plasmacytoma","Use Cancer_plasmacytoma",
"Pleurisy","Inflammation of the lung membrane and abdominal lining",1550|802|880|787|776|727|125|95|72|20|444|1865|450
"Pneumococcus","Use Streptococcus pneumoniae",
"Pneumocystis Carnii","Fungus which causes pneumonia usually developing in the immune suppressed or in infants",204|340|742
"Pneumonia 1",,10346.56|10976.38|5045.03|5548.59|5549.22|5554.69|5554.84|5558.75|5560.78|5562.5|6752.01|7118.2|7255|7284.06|7414.28|7631.09|7632.66|7667.38|7676.94|8045.81|8041.5|10334.06|8082.59|8305.19|8911.25|9113.5|9141.5|9393.13|6654.69
"Pneumonia 2",,986|987|988
"Pneumonia Bronchial","Inflammation of bronchii and lungs",550|802|880|787|776|727|452|1474|578
"Pneumonia General","See also Pneumonia klebsiella, Pneumonia mycoplasma, Pneumonia bronchial, Pneumonocystis carnii, Streptococcus pneumoniae. If no or slow results, try Mycoplasma General set.",7660|7344|5000|3702|3672|2688|1862|1550|1238|1234|1200|975|880|802|787|780|778|776|774|772|770|768|766|727|688|683|660|450|412|352|20
"Pneumonia General V",,6007|5423|5421|5420|5419|2688|2581|2356|967|877|838|765|748|746|568|542|532|522|520|440
"Pneumonia Mycoplasma","A contagious pneumonia of children and young adults. See also Mycoplasma General",688|975|777|2688|660|709.2|2838.5
"Pneumonia Walking","Use Pneumonia mycoplasma",
"Pneumoniae Klebsiella","Causes an acute, bacterial pneumonia",840|818|783|779|776|766|765|746|413|412
"Pneumoniae Klebsiella HC",,19964.61|20860.78|1038.60|993.98
"Pneumovirus","Causes bronchiolitis and pneumonia in infants, use Respiratory syncitial virus",
"Polio","Also known as poliomyelitis",135|283|742|776|1500|2632|1850
"Polio Secondary Complications",,1550|802|428|1500|880|787|727
"Polyarthritis",,512
"Polyp General",,522|146|2720|2489|2170|2127|2008|1800|1600|727|690|666|650|625|600|465|444|20
"Polyp Nasal",,542|1436
"Polyp Uterine",,689
"Porphyria","Several rare disorders of the nervous system and skin",698|780
"Postsurgery Detoxification","Also use saunas and electrolyte replacement",522|146
"Proctitis","Use Chlamydia trachomatis",
"Propionibacterium Acnes","May be secondary cause of some prostate cancers. Sweep from 5996.1 to 6078.1 by 0.03125 dwell 1 pulse 64 75 plus 6046.9 for 6 min",6046.9
"Propionibacterium Acnes HC",,19267.60|959.28
"Prostate Adenominum",,442|688|1875|748|766
"Prostate Enlarged","See Prostatitis and other prostate sets and Strep general",2250|2128|2050|920|690|666
"Prostate Hyperplasia","Use Prostate_enlarged",
"Prostate Problems General","See also Strep sets and practice metals avoidance",2720|2128|2008|880|802|787|728|727|690|666|465|408|125|95|72|20|9
"Prostatitis","Benign prostate tumor or infection",100|410|522|146|2720|2050|2489|2170|2127|2008|1550|802|787|776|727|690|666|465|125|95|72|20|444|522|9.1
"Prostatitis 1","Use 2050 and 2250 for 15 min",2050|2250
"Proteus",,424|434|834
"Proteus Mirabilis HC",,16131.01|803.12
"Proteus Vulgaris HC","Urinary tract pathogen",20562.06|16728.45|16330.16|1023.72|832.86|813.03
"Pruritis","Use Itching",
"Pseudomonas Aeruginosa","Bacteria causing blue pus infections found in wounds, burns, and the urinary tract, et al",174|482|785|1132|5311|3965|405|633|191|178|731|6646|178|739.8|2959.4
"Pseudomonas Aeruginosa HC","Causes infection in open wounds",16579.09|825.42
"Pseudomonas Gen",,6646|5311|3965|2959.4|1273|1132|986|875|857|785|774|743|739.8|737|731|687|633|501|482|437|405|191|178|174
"Pseudomonas Mallei","Also called glanders bacillus. Causes glanders, a blue pus infection of the respiratory system and mouth, and transmitted occasionally to man by equine.",986|737|687|857|875|1273|501|743|774
"Pseudomonas Pyocyanea",,437
"Psittacosis","Use Ornithosis",
"Psoriasis","Also use Hypothyroid set and see General Parasite, ascaris, and other roundworm freqs",2720|2489|2180|2170|2128|2008|1552|880|800|786|728|664|304|152|112|104|100|96|64|60
"Psoriasis Ankylosing Spondylitis",,3000|95|1550|802|880|787|776|727|650|625|600|28|1.2|10|35|28|7.69|110|100|60|428|680
"Psorinum",,786|767
"Ptosis","Eyelid droop. Also use Parasite general, ascaris, and roundworm",
"Pullularia Pullulans","Allergy remedy",432|873|1364|684|739|750
"Pulmonary Fibrosis","Use also Parasite, roundworm frequencies and see General Antiseptic",27.5|220|410
"Pyelitis Proteus","Bacteria commonly found in hospital-borne conditions",434|594|776
"Pyocyaneus","Homeopathic nosode for Pseudomonas pyocyanea",437
"Pyoderma","Or Pyoderma Gangrenosum; a rare skin disorder of unknown cause. Small pustules develop into large ulcers at various sites on the body. Also see Parasites general and General antiseptic",123|132|967|974|1556|1489|663
"Pyorrhea","Infection of periodontium causing inflammation of gums and bone loss. Although pyorrhea may be controlled or eliminated with treatment, infection will always return whenever subject experiences stress or poor diet, until mercury inlays aka 'silver' fillings and nickel alloy which is stainless steel, dental appliances are replaced with porcelain that does not contain uranium and infected root canals and sockets are treated. See also Dental, Dental foci, Stomatitis, Gingivitis, Toothache",2720|2489|2008|1800|1600|1550|802|880|787|776|766|727|465|444|522|146
"Pyrogenium 62","General homeopathic remedy for pus",151|429|594|622|872|497|498
"Pyrogenium Ex Ovo",,231|1244|1210|1216
"Pyrogenium Fish",,287|304
"Pyrogenium Mayo",,688|759|1625|727|770
"Pyrogenium Suis",,341|356|673
"Q Fever","An infectious disease caused by contact with animals with the parasitic Rickettsia bacteria and Coxiella burnetii whose symptoms may include headache, fever, chills, and sweats. See also Typhoid fever and Rickettsia",523|1357|607|129|632|943|1062|549|720|726
"Rabies","Lyssinum",20|120|547|793
"Radiation Burns","Also see Regeneration and Healing",727|787|880|10000
"Ragweed",,473
"Raynauds Disease",,727|20
"Refractory An",,435
"Regeneration And Healing",,47|2720
"Regeneration And Healing 1",,2720|2.0|20.5|3.9|4.0|50.5|6.3|148|7.0
"Relaxation To Produce",,6000|10|7.83
"Renal Calculi","Use Kidney stones",
"Renal Excretory Insufficiency Diastolic Hypertensive","Also see Kidney insufficiency",9.2
"Reproductive",,335|536|622|712
"Respiratory Syncytial Virus",,336|712|278
"Respiratory Syncytial Virus HC",,18919.09|941.93
"Retrovirus Variants",,2489|465|727|787|880|448|800|10000
"Rhesus Gravidatum",,312|322|536|684
"Rheuma","Watery discharge from nose or eyes",952|436|595|775
"Rheumaticus",,333|376|820
"Rheumatism","Also use Arthritis_rheumatoid",10000|776|766|262
"Rheumatoid Arthritis","Use Arthritis_rheumatoid",
"Rhinitis","Runny nose, also see Sinusitis",20|120|1550|802|1500|880|787|727|465|522|146
"Rhino Pneumonitis",,185|367|820|487
"Rhizopus Nigricans",,132|327|775|659|660
"Rhodo Torula",,833|598|778
"Rhodococcus",,124|835|432|764|337|682|720
"Rickettsia","Bacteria that are transmitted to man by lice, fleas, ticks, and mites. Can cause typhoid fever and Q fever.",129|632|943|1062|549|720|726|521|2085|4170
"Ringworm","See Microsporum audouini, Microsporum canis, Trichophyton, and/or Epidermophyton. Use all freqs for 6 min",5000|800|732|442|440|422|128|120|92|76|60
"Roaches","May target a symbiot",100
"Rocky Mountain Spotted Fever",,375|862|943|788|468|308
"Rocky Mtn Spotted Fever And Lyme V",,7989|1590|239|846|422|417|1455|39975|40439|884|797|758|693|673|577|4870|4880|578|128|579
"Rosacea","Use Helicobacter pylori and take enzyme supplement",
"Roseola","Use Herpes type 6",
"Rotifer",,4500
"Rubella","Use Measles_rubella",
"Rubeola","Use Measles_rubeola",
"Ruko Tick",,6634|285|308
"Sacred Numbers",,70|72|99|144|153|1260|3142
"Salivary Gland Virus","Human herpes type 5. Use Cytomegalovirus",
"Salmonella","1",718.2|713.3
"Salmonella","Can cause intestinal inflammation and infection, and contribute to flu in children",1522|718|717|713|972|664|643
"Salmonella Comp",,8656|7771|6787|1634|1522|1244|972|773|762|754|752|719|718.2|717|713.3|711|707|693|664|643|546|420|165|92|59
"Salmonella Enteriditis HC","Causes intestinal infection",16379.95|815.51
"Salmonella Paratyphi B",,59|92|643|707|717|719|752|972|7771|1244|6787|165|711
"Salmonella Paratyphi HC",,18321.64|912.18
"Salmonella Type B",,546|1634
"Salmonella Typhi","Can cause typhoid fever",420|664|8656|773
"Salmonella Typhimurium",,693|754|762
"Salmonella Typhimurium HC","Can cause food poisoning, nervousness, apathy",19168.02|19217.81|954.32|956.80
"Sanguinera","Use Nanobacter",
"Sanguis Menst",,591
"Sarcocystis HC",,22503.75|1120.40
"Sarcoidosis","Also see Cancer, lymphogranuloma",2167|2967|3289
"SARS 1",,9563|6157|5513|3735|1559|33566|255616|1556|2286|5763|8015|162|563|5613|5235
"SARS 2",,597.68|769.62|689.14|937.76|779.5|524.47|1048.94|499.25|998.5|778.12|1143|720.36|1001.86|648|563|701.6|654.4
"Scabies","Use Parasites_scabies and Mange_follicular",
"Scarlet Fever",,437|880|787|727|690|666
"Schistosoma","Use Parasites, schistosoma",
"Schizophrenia Paranoid 1","Also see Tuberculosis",802|1500|1550
"Schumann Resonance","Earth frequencies which may be relaxing",7.83|14|20|26|33|39|45
"Schunan B Cell",,322|425|561|600|620|623|780|781|950|952|1023|1524|1097|1100
"Sciatica 1","Also use “Bone Builder with Boron” at double dose",254|464|465|866|15|25.4
"Sciatica 2",,782|732|860
"Sciaticor Schias",,1550|802|880|787|727|690|666|10
"Scleroderma V",,4334|42046|44178|49847|55687|67868|75969|35237|54778|44837|39703|31888|34112|36769|42938|38882|48686|30121|64734|44679|70542|48450
"Sclerosis Lateral","Degeneration of spinal cord resulting in spastic paraplegia",254
"Sedation And Pain Relief",,304|6000
"Sedative Effect","Reported use on bleeding, bruises, insomnia, sinusitis",2.5
"Seizure 1",,329|226|953
"Semperillium",,1140
"Serratia Marcescens HC",,17475.26|870.04
"Serum Schweinepest","Swine fever or hog cholera",503|246|604|465
"Sexual Dysfunction Men","See also Circulatory stasis, Orchitis",9.39|2112|2127|2008|465|880|802|787|727|690|666|124|95|73|72|20|650|625|600
"Shigella","Can cause acute dysentery and diarrhea as well as infect nerves, brain, and spinal cord chronically",621|762|769|770|1550|802|832
"Shigella Dysenteriae HC",,19421.39|966.93
"Shigella Flexneri HC","Causes depression",19616.10|976.63
"Shigella Sonnei HC","Invades tumors",15832.29|788.24
"Shingles","Use Herpes zoster",
"Silver",,15903
"Simian Virus 40","SV40|also try for throat and sinus issues",7635.45|6653.86|6346.71|5631.24|5543.65|2962.14|2642.24|1876.13|1413.46|1344.43|83173.3|93806.5
"Sinus Bacteria","Also use Sinusitis",548
"Sinusitis","Sinus and lung infections can be caused by a large number of pathogens including viruses like RSV, adenovirus, parainfluenza, influenza A, influenza B, rhino virus, et al. Common bacteria like strep pneum. are always suspect when condition is chronic, as are fungi.",952|741|682|320|160
"Sinusitis 1","All freqs for 5 min",1862|1600|1552|1500|880|802|784|732|728|712|683|660|548|524|464|440|400|146|120|72|20
